Fecha,Precipitacion,Latitud,Longitud,DPTO,LOC
2021-08-01,16.19400978088379,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-09-01,62.02011489868164,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-10-01,50.57413101196289,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-11-01,68.14269256591797,-37.12042933,-64.51205467,UTRACAN,Quehue
2021-12-01,112.75213623046875,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-01-01,43.76900863647461,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-02-01,78.63646697998047,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-03-01,80.34393310546875,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-04-01,66.22744750976562,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-05-01,13.773639678955078,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-06-01,5.44467306137085,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-07-01,22.121328353881836,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-08-01,14.6654052734375,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-09-01,29.85311508178711,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-10-01,75.41741180419922,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-11-01,60.49828338623047,-37.12042933,-64.51205467,UTRACAN,Quehue
2022-12-01,29.30870819091797,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-01-01,89.59059143066406,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-02-01,10.039955139160156,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-03-01,94.62174987792969,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-04-01,37.07626724243164,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-05-01,23.710723876953125,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-06-01,16.633886337280273,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-07-01,18.204557418823242,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-08-01,18.32159996032715,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-09-01,16.095186233520508,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-10-01,74.61289978027344,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-11-01,50.991180419921875,-37.12042933,-64.51205467,UTRACAN,Quehue
2023-12-01,136.39712524414062,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-01-01,37.303794860839844,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-02-01,89.81080627441406,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-03-01,87.86676788330078,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-04-01,86.65088653564453,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-05-01,6.444141864776611,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-06-01,19.392715454101562,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-07-01,3.8261704444885254,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-08-01,21.149648666381836,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-09-01,25.167861938476562,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-10-01,53.615135192871094,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-11-01,87.30229187011719,-37.12042933,-64.51205467,UTRACAN,Quehue
2024-12-01,32.80884552001953,-37.12042933,-64.51205467,UTRACAN,Quehue
2014-01-01,55.2287712097168,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-02-01,110.21439361572266,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-03-01,75.70674133300781,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-04-01,121.41911315917969,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-05-01,28.76190185546875,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-06-01,17.72615623474121,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-07-01,34.473365783691406,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-08-01,9.308116912841797,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-09-01,36.97726058959961,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-10-01,97.48531341552734,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-11-01,45.666053771972656,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2014-12-01,41.568058013916016,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-01-01,88.06581115722656,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-02-01,64.53773498535156,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-03-01,74.90318298339844,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-04-01,92.677978515625,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-05-01,23.514610290527344,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-06-01,14.209273338317871,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-07-01,21.29497718811035,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-08-01,15.655679702758789,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-09-01,40.558876037597656,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-10-01,78.05119323730469,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
2015-11-01,64.08721923828125,-36.05469783,-63.56186951,QUEMU QUEMU,Quemu Quemu
