Fecha,modis_date,NDVI,NDVI_crudo,tile,producto,banda,lat,long,DPTO,LOC
2017-02-18,A2017049,0.3846,3846,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-03-06,A2017065,0.397,3970,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-03-22,A2017081,0.41400000000000003,4140,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-04-07,A2017097,0.4136,4136,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-04-23,A2017113,0.4187,4187,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-05-09,A2017129,0.534,5340,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-05-25,A2017145,0.5073,5073,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-06-10,A2017161,0.4021,4021,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-06-26,A2017177,0.39840000000000003,3984,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-07-12,A2017193,0.36300000000000004,3630,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-07-28,A2017209,0.3371,3371,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-08-13,A2017225,0.3589,3589,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-08-29,A2017241,0.42550000000000004,4255,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-09-14,A2017257,0.4233,4233,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-09-30,A2017273,0.433,4330,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-10-16,A2017289,0.4263,4263,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-11-01,A2017305,0.3987,3987,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-11-17,A2017321,0.3986,3986,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-12-03,A2017337,0.3458,3458,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2017-12-19,A2017353,0.28340000000000004,2834,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-01-01,A2018001,0.28340000000000004,2834,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-01-17,A2018017,0.3206,3206,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-02-02,A2018033,0.28,2800,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-02-18,A2018049,0.27640000000000003,2764,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-03-06,A2018065,0.30910000000000004,3091,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-03-22,A2018081,0.3143,3143,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-04-07,A2018097,0.332,3320,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-04-23,A2018113,0.3815,3815,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-05-09,A2018129,0.3695,3695,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-05-25,A2018145,0.4264,4264,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-06-10,A2018161,0.3552,3552,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-06-26,A2018177,0.3342,3342,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-07-12,A2018193,0.3713,3713,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-07-28,A2018209,0.3335,3335,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-08-13,A2018225,0.38370000000000004,3837,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-08-29,A2018241,0.31370000000000003,3137,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-09-14,A2018257,0.3609,3609,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-09-30,A2018273,0.3819,3819,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-10-16,A2018289,0.4283,4283,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-11-01,A2018305,0.4151,4151,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-11-17,A2018321,0.37260000000000004,3726,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-12-03,A2018337,0.3748,3748,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2018-12-19,A2018353,0.3408,3408,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-01-01,A2019001,0.34090000000000004,3409,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-01-17,A2019017,0.3119,3119,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-02-02,A2019033,0.2805,2805,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-02-18,A2019049,0.2876,2876,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-03-06,A2019065,0.2755,2755,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-03-22,A2019081,0.3824,3824,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-04-07,A2019097,0.3781,3781,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-04-23,A2019113,0.3144,3144,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-05-09,A2019129,0.34650000000000003,3465,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-05-25,A2019145,0.3456,3456,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-06-10,A2019161,0.2989,2989,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-06-26,A2019177,0.3594,3594,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-07-12,A2019193,0.3291,3291,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-07-28,A2019209,0.3667,3667,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-08-13,A2019225,0.3009,3009,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-08-29,A2019241,0.3083,3083,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-09-14,A2019257,0.30720000000000003,3072,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-09-30,A2019273,0.2989,2989,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-10-16,A2019289,0.30860000000000004,3086,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-11-01,A2019305,0.3569,3569,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-11-17,A2019321,0.36910000000000004,3691,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-12-03,A2019337,0.27740000000000004,2774,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2019-12-19,A2019353,0.3007,3007,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-01-01,A2020001,0.3095,3095,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-01-17,A2020017,0.32280000000000003,3228,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-02-02,A2020033,0.3548,3548,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-02-18,A2020049,0.3895,3895,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-03-05,A2020065,0.3274,3274,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-03-21,A2020081,0.2977,2977,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-04-06,A2020097,0.3819,3819,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-04-22,A2020113,0.4913,4913,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-05-08,A2020129,0.4476,4476,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-05-24,A2020145,0.3861,3861,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-06-09,A2020161,0.506,5060,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-06-25,A2020177,0.37670000000000003,3767,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-07-11,A2020193,0.3622,3622,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-07-27,A2020209,0.4529,4529,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-08-12,A2020225,0.3997,3997,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-08-28,A2020241,0.4278,4278,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-09-13,A2020257,0.42460000000000003,4246,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-09-29,A2020273,0.43560000000000004,4356,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2020-10-15,A2020289,0.431,4310,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
